date,location_name,ili
1997-10-04,US,-0.2838699224437123
1997-10-11,US,-0.180134498270102
1997-10-18,US,-0.250742211591233
1997-10-25,US,-0.4016801117753171
1997-11-01,US,-0.2110017496872895
1997-11-08,US,-0.1750073916780109
1997-11-15,US,0.005888087016829
1997-11-22,US,0.1852663445066417
1997-11-29,US,0.2127222330612946
1997-12-06,US,0.1596530812747524
1997-12-13,US,0.2786194133542239
1997-12-20,US,0.5418534553226552
1997-12-27,US,1.0364333894937894
1998-01-03,US,1.2351396810536537
1998-01-10,US,1.199840369844006
1998-01-17,US,1.2279570613453108
1998-01-24,US,1.5655685205065546
1998-01-31,US,1.6448536269514715
1998-02-07,US,1.6193632573984595
1998-02-14,US,1.2911712692926007
1998-02-21,US,1.01367416617228
1998-02-28,US,0.5604569655485224
1998-03-07,US,-0.00084115052691896
1998-03-14,US,0.0445957501238667
1998-03-21,US,-0.487118302739678
1998-03-28,US,-0.6369443794953021
1998-04-04,US,-1.1593618392136242
1998-04-11,US,-0.8868349178468012
1998-04-18,US,-1.3600139693041988
1998-04-25,US,-1.2911712692926005
1998-05-02,US,-1.246034640954547
1998-05-09,US,-1.4312834565686192
1998-05-16,US,-1.4407177807117344
1998-05-23,US,-1.3992268530974723
1998-05-30,US,-1.853865608354195
1998-06-06,US,-1.853865608354195
1998-06-13,US,-1.853865608354195
1998-06-20,US,-1.853865608354195
1998-06-27,US,-1.853865608354195
1998-07-04,US,-1.853865608354195
1998-07-11,US,-1.853865608354195
1998-07-18,US,-1.853865608354195
1998-07-25,US,-1.853865608354195
1998-08-01,US,-1.853865608354195
1998-08-08,US,-1.853865608354195
1998-08-15,US,-1.853865608354195
1998-08-22,US,-1.853865608354195
1998-08-29,US,-1.853865608354195
1998-09-05,US,-1.853865608354195
1998-09-12,US,-1.853865608354195
1998-09-19,US,-1.853865608354195
1998-09-26,US,-1.853865608354195
1998-10-03,US,-1.853865608354195
1998-10-10,US,-1.2387550050941565
1998-10-17,US,-1.0866733222594875
1998-10-24,US,-0.7980659584946245
1998-10-31,US,-0.4218228000124859
1998-11-07,US,-0.604309962713809
1998-11-14,US,-0.6287233305758533
1998-11-21,US,-0.4144787998573763
1998-11-28,US,0.0126175912022729
1998-12-05,US,-0.4126463028509501
1998-12-12,US,-0.3744713187109257
1998-12-19,US,-0.3564861665185971
1998-12-26,US,0.0496482644462357
1999-01-02,US,0.3190818723369503
1999-01-09,US,0.3067148800893272
1999-01-16,US,0.7819768344299811
1999-01-23,US,1.2102721081725505
1999-01-30,US,1.334991297778258
1999-02-06,US,1.6922200403994392
1999-02-13,US,1.6714599022979384
1999-02-20,US,1.5829940577282426
1999-02-27,US,1.3903272384515988
1999-03-06,US,1.3187631056816402
1999-03-13,US,0.961617831981471
1999-03-20,US,0.6957631324512525
1999-03-27,US,0.4795553186198226
1999-04-03,US,-0.07493245173937
1999-04-10,US,-0.8356431170855912
1999-04-17,US,-1.3815363996635102
1999-04-24,US,-1.5054253135968678
1999-05-01,US,-1.3771807371325704
1999-05-08,US,-1.5212866478447595
1999-05-15,US,-1.4747920606234477
1999-05-22,US,-1.4648823460325795
1999-05-29,US,-1.853865608354195
1999-06-05,US,-1.853865608354195
1999-06-12,US,-1.853865608354195
1999-06-19,US,-1.853865608354195
1999-06-26,US,-1.853865608354195
1999-07-03,US,-1.853865608354195
1999-07-10,US,-1.853865608354195
1999-07-17,US,-1.853865608354195
1999-07-24,US,-1.853865608354195
1999-07-31,US,-1.853865608354195
1999-08-07,US,-1.853865608354195
1999-08-14,US,-1.853865608354195
1999-08-21,US,-1.853865608354195
1999-08-28,US,-1.853865608354195
1999-09-04,US,-1.853865608354195
1999-09-11,US,-1.853865608354195
1999-09-18,US,-1.853865608354195
1999-09-25,US,-1.853865608354195
1999-10-02,US,-1.853865608354195
1999-10-09,US,-0.6660656682158288
1999-10-16,US,-0.5215072982062058
1999-10-23,US,-0.7326721905786373
1999-10-30,US,-0.6022918787638109
1999-11-06,US,-0.3243968768967941
1999-11-13,US,-0.245537509546799
1999-11-20,US,-0.1681783748164527
1999-11-27,US,0.2213342099410422
1999-12-04,US,0.2559537148952147
1999-12-11,US,0.6639670358256042
1999-12-18,US,0.9404634957265104
1999-12-25,US,1.4950579118011602
2000-01-01,US,1.872960602910844
2000-01-08,US,1.706476150339735
2000-01-15,US,1.283466013930674
2000-01-22,US,0.9300426676328388
2000-01-29,US,0.5723068734533013
2000-02-05,US,0.29791005677747
2000-02-12,US,0.1579494339280308
2000-02-19,US,-0.1989755388116664
2000-02-26,US,-0.408985454534283
2000-03-04,US,-0.2576924216197274
2000-03-11,US,-0.6002762447704901
2000-03-18,US,-0.7615833339358641
2000-03-25,US,-0.786552927677994
2000-04-01,US,-0.9642924424033052
2000-04-08,US,-1.199840369844006
2000-04-15,US,-1.4359846421826172
2000-04-22,US,-1.4899339234919813
2000-04-29,US,-1.5002214567251737
2000-05-06,US,-1.4950579118011598
2000-05-13,US,-1.5159570964814502
2000-05-20,US,-1.5106702599642718
2000-05-27,US,-1.853865608354195
2000-06-03,US,-1.853865608354195
2000-06-10,US,-1.853865608354195
2000-06-17,US,-1.853865608354195
2000-06-24,US,-1.853865608354195
2000-07-01,US,-1.853865608354195
2000-07-08,US,-1.853865608354195
2000-07-15,US,-1.853865608354195
2000-07-22,US,-1.853865608354195
2000-07-29,US,-1.853865608354195
2000-08-05,US,-1.853865608354195
2000-08-12,US,-1.853865608354195
2000-08-19,US,-1.853865608354195
2000-08-26,US,-1.853865608354195
2000-09-02,US,-1.853865608354195
2000-09-09,US,-1.853865608354195
2000-09-16,US,-1.853865608354195
2000-09-23,US,-1.853865608354195
2000-09-30,US,-1.853865608354195
2000-10-07,US,-0.262913241959644
2000-10-14,US,-0.5447782486769686
2000-10-21,US,-0.3762764174625044
2000-10-28,US,-0.2646551020776854
2000-11-04,US,-0.2472716643354335
2000-11-11,US,-0.0176650776851757
2000-11-18,US,0.0513327112033762
2000-11-25,US,0.3173122127409201
2000-12-02,US,0.1426366116270141
2000-12-09,US,0.2524786158048221
2000-12-16,US,0.5004212076240647
2000-12-23,US,0.7065184682745602
2000-12-30,US,1.1333984139177211
2001-01-06,US,1.0746078505558672
2001-01-13,US,1.0249874115292463
2001-01-20,US,1.2533809138461645
2001-01-27,US,1.3685469399575996
2001-02-03,US,1.3068161237792055
2001-02-10,US,1.2033030728244094
2001-02-17,US,0.894338251580449
2001-02-24,US,0.7173561608255344
2001-03-03,US,0.2472716643354334
2001-03-10,US,0.1818445799540066
2001-03-17,US,-0.0943486378682723
2001-03-24,US,-0.0580720029348833
2001-03-31,US,-0.2751233452284758
2001-04-07,US,-0.4458512509016379
2001-04-14,US,-0.7392889732234386
2001-04-21,US,-0.7282787740188362
2001-04-28,US,-1.169302244463227
2001-05-05,US,-1.1861312535593964
2001-05-12,US,-1.2033030728244094
2001-05-19,US,-1.2989539548765905
2001-05-26,US,-1.853865608354195
2001-06-02,US,-1.853865608354195
2001-06-09,US,-1.853865608354195
2001-06-16,US,-1.853865608354195
2001-06-23,US,-1.853865608354195
2001-06-30,US,-1.853865608354195
2001-07-07,US,-1.853865608354195
2001-07-14,US,-1.853865608354195
2001-07-21,US,-1.853865608354195
2001-07-28,US,-1.853865608354195
2001-08-04,US,-1.853865608354195
2001-08-11,US,-1.853865608354195
2001-08-18,US,-1.853865608354195
2001-08-25,US,-1.853865608354195
2001-09-01,US,-1.853865608354195
2001-09-08,US,-1.853865608354195
2001-09-15,US,-1.853865608354195
2001-09-22,US,-1.853865608354195
2001-09-29,US,-1.853865608354195
2001-10-06,US,-0.6390063638656903
2001-10-13,US,-0.475784114934814
2001-10-20,US,-0.3600737983727184
2001-10-27,US,-0.2075626504596524
2001-11-03,US,-0.1528412210291286
2001-11-10,US,-0.2803687226078616
2001-11-17,US,-0.1070300998568875
2001-11-24,US,0.0429118380051605
2001-12-01,US,-0.0412280475568411
2001-12-08,US,-0.2058440235462927
2001-12-15,US,-0.1938303461225245
2001-12-22,US,0.093503768850332
2001-12-29,US,0.5526006267198256
2002-01-05,US,0.3998571358775861
2002-01-12,US,0.2110017496872895
2002-01-19,US,0.5138132685063176
2002-01-26,US,0.917156948615174
2002-02-02,US,0.9430846942597696
2002-02-09,US,0.9378487429432432
2002-02-16,US,1.0538615502269626
2002-02-23,US,1.0278362832697927
2002-03-02,US,0.8744390582267675
2002-03-09,US,0.56439811494315
2002-03-16,US,0.3780827431005701
2002-03-23,US,0.1698848814503318
2002-03-30,US,0.0294445190506458
2002-04-06,US,-0.3261705760482307
2002-04-13,US,-0.8143643738150131
2002-04-20,US,-0.9886819189394936
2002-04-27,US,-1.2315404292994407
2002-05-04,US,-1.3859184313034627
2002-05-11,US,-1.3515788902473362
2002-05-18,US,-1.4454834169814317
2002-05-25,US,-1.853865608354195
2002-06-01,US,-1.853865608354195
2002-06-08,US,-1.853865608354195
2002-06-15,US,-1.853865608354195
2002-06-22,US,-1.853865608354195
2002-06-29,US,-1.853865608354195
2002-07-06,US,-1.853865608354195
2002-07-13,US,-1.853865608354195
2002-07-20,US,-1.853865608354195
2002-07-27,US,-1.853865608354195
2002-08-03,US,-1.853865608354195
2002-08-10,US,-1.853865608354195
2002-08-17,US,-1.853865608354195
2002-08-24,US,-1.853865608354195
2002-08-31,US,-1.853865608354195
2002-09-07,US,-1.853865608354195
2002-09-14,US,-1.853865608354195
2002-09-21,US,-1.853865608354195
2002-09-28,US,-1.853865608354195
2002-10-05,US,-0.3618693508635535
2002-10-12,US,-0.2856218254637586
2002-10-19,US,-0.4328817608346066
2002-10-26,US,-0.231690354584765
2002-11-02,US,-0.1511393758591577
2002-11-09,US,-0.0462797887060858
