date,location_name,proxy_hosp_continuous
2001-05-19,US,0.0
2001-05-26,US,0.0
2001-06-02,US,0.0
2001-06-09,US,0.0
2001-06-16,US,0.0
2001-06-23,US,0.0
2001-06-30,US,0.0
2001-07-07,US,0.0
2001-07-14,US,0.0
2001-07-21,US,0.0
2001-07-28,US,0.0
2001-08-04,US,0.0
2001-08-11,US,0.0
2001-08-18,US,0.0
2001-08-25,US,0.0
2001-09-01,US,0.0
2001-09-08,US,0.0
2001-09-15,US,0.0
2001-09-22,US,0.0
2001-09-29,US,0.0
2001-10-06,US,531.029992
2001-10-13,US,929.302486
2001-10-20,US,1228.0068565000001
2001-10-27,US,1659.468725
2001-11-03,US,1825.4155975
2001-11-10,US,1427.1431035
2001-11-17,US,1958.1730954999998
2001-11-24,US,2422.8243385
2001-12-01,US,2157.3093425
2001-12-08,US,1659.468725
2001-12-15,US,1692.6580995
2001-12-22,US,2621.9605855
2001-12-29,US,4447.376183
2002-01-05,US,3783.5886929999997
2002-01-12,US,3053.4224540000005
2002-01-19,US,4281.4293105
2002-01-26,US,6305.981155
2002-02-02,US,6471.9280275
2002-02-09,US,6438.738652999999
2002-02-16,US,7135.7155175
2002-02-23,US,6969.768645
2002-03-02,US,6073.6555335
2002-03-09,US,4513.754932000001
2002-03-16,US,3684.0205695000004
2002-03-23,US,2887.4755815
2002-03-30,US,2389.634964
2002-04-06,US,1327.57498
2002-04-13,US,165.9468725
2002-04-20,US,0.0
2002-04-27,US,0.0
2002-05-04,US,0.0
2002-05-11,US,0.0
2002-05-18,US,0.0
2002-05-25,US,0.0
2002-06-01,US,0.0
2002-06-08,US,0.0
2002-06-15,US,0.0
2002-06-22,US,0.0
2002-06-29,US,0.0
2002-07-06,US,0.0
2002-07-13,US,0.0
2002-07-20,US,0.0
2002-07-27,US,0.0
2002-08-03,US,0.0
2002-08-10,US,0.0
2002-08-17,US,0.0
2002-08-24,US,0.0
2002-08-31,US,0.0
2002-09-07,US,0.0
2002-09-14,US,0.0
2002-09-21,US,0.0
2002-09-28,US,0.0
2002-10-05,US,1228.0068565000001
2002-10-12,US,1427.1431035
2002-10-19,US,1028.8706095
2002-10-26,US,1593.089976
2002-11-02,US,1825.4155975
2002-11-09,US,2157.3093425
2002-11-16,US,2090.9305934999998
2002-11-23,US,1891.7943464999998
2002-11-30,US,2256.8774660000004
2002-12-07,US,1593.089976
2002-12-14,US,1626.2793505000002
2002-12-21,US,2754.7180834999995
2002-12-28,US,3949.5355655000003
2003-01-04,US,3650.831195
2003-01-11,US,2754.7180834999995
2003-01-18,US,3385.316199
2003-01-25,US,5277.1105455
2003-02-01,US,6305.981155
2003-02-08,US,7168.9048920000005
2003-02-15,US,6637.8749
2003-02-22,US,6604.685525499999
2003-03-01,US,4945.2168005
2003-03-08,US,3816.7780675
2003-03-15,US,3152.9905775
2003-03-22,US,2588.7712109999998
2003-03-29,US,1460.332478
2003-04-05,US,730.166239
2003-04-12,US,829.7343625
2003-04-19,US,0.0
2003-04-26,US,0.0
2003-05-03,US,0.0
2003-05-10,US,0.0
2003-05-17,US,0.0
2003-05-24,US,0.0
2003-05-31,US,0.0
2003-06-07,US,0.0
2003-06-14,US,0.0
2003-06-21,US,0.0
2003-06-28,US,0.0
2003-07-05,US,0.0
2003-07-12,US,0.0
2003-07-19,US,0.0
2003-07-26,US,0.0
2003-08-02,US,0.0
2003-08-09,US,0.0
2003-08-16,US,0.0
2003-08-23,US,0.0
2003-08-30,US,0.0
2003-09-06,US,0.0
2003-09-13,US,0.0
2003-09-20,US,0.0
2003-09-27,US,0.0
2003-10-04,US,398.272494
2003-10-11,US,696.9768645
2003-10-18,US,763.3556135000001
2003-10-25,US,962.4918604999999
2003-11-01,US,2190.4987170000004
2003-11-08,US,3152.9905775
2003-11-15,US,5177.5424219999995
2003-11-22,US,6903.389896000001
2003-11-29,US,9757.676103
2003-12-06,US,11383.9554535
2003-12-13,US,16229.6041305
2003-12-20,US,17756.3153575
2003-12-27,US,19283.0265845
2004-01-03,US,10521.0317165
2004-01-10,US,5277.1105455
2004-01-17,US,3352.1268244999997
2004-01-24,US,3119.801203
2004-01-31,US,2655.14996
2004-02-07,US,2290.0668404999997
2004-02-14,US,1891.7943464999998
2004-02-21,US,1825.4155975
2004-02-28,US,663.78749
2004-03-06,US,564.2193665000001
2004-03-13,US,730.166239
2004-03-20,US,630.5981155
2004-03-27,US,265.514996
2004-04-03,US,0.0
2004-04-10,US,0.0
2004-04-17,US,0.0
